,unixdatetime,value
0,1465084761,0.01
1,1465084762,0.012
2,1465084763,0.012
3,1465084764,0.014
4,1465084765,0.016
5,1465084766,0.024
6,1465084767,0.025
7,1465084768,0.027
8,1465084769,0.034
9,1465084770,0.035
10,1465084771,0.049
11,1465084772,0.063
12,1465084773,0.07
13,1465084774,0.074
14,1465084775,0.078
15,1465084776,0.081
16,1465084777,0.084
17,1465084778,0.089
18,1465084779,0.089
19,1465084780,0.097
20,1465084781,0.1
21,1465084782,0.1
22,1465084783,0.103
23,1465084784,0.105
24,1465084785,0.121
25,1465084786,0.123
26,1465084787,0.124
27,1465084788,0.13
28,1465084789,0.13
29,1465084790,0.137
30,1465084791,0.137
31,1465084792,0.145
32,1465084793,0.146
33,1465084794,0.152
34,1465084795,0.154
35,1465084796,0.159
36,1465084797,0.161
37,1465084798,0.162
38,1465084799,0.166
39,1465084800,0.17
