,unixdatetime,value
0,1455753561,0.0
1,1455753562,0.0
2,1455753563,0.0
3,1455753564,0.0
4,1455753565,0.001
5,1455753566,0.001
6,1455753567,0.001
7,1455753568,0.002
8,1455753569,0.003
9,1455753570,0.003
10,1455753571,0.003
11,1455753572,0.003
12,1455753573,0.004
13,1455753574,0.004
14,1455753575,0.004
15,1455753576,0.004
16,1455753577,0.004
17,1455753578,0.004
18,1455753579,0.004
19,1455753580,0.005
20,1455753581,0.005
21,1455753582,0.006
22,1455753583,0.006
23,1455753584,0.006
24,1455753585,0.006
25,1455753586,0.006
26,1455753587,0.007
27,1455753588,0.007
28,1455753589,0.007
29,1455753590,0.007
30,1455753591,0.007
31,1455753592,0.008
32,1455753593,0.008
33,1455753594,0.008
34,1455753595,0.009
35,1455753596,0.01
36,1455753597,0.01
37,1455753598,0.01
38,1455753599,0.01
39,1455753600,0.01
