,unixdatetime,value
0,1454889561,0.0
1,1454889562,0.0
2,1454889563,0.0
3,1454889564,0.001
4,1454889565,0.002
5,1454889566,0.003
6,1454889567,0.003
7,1454889568,0.003
8,1454889569,0.004
9,1454889570,0.005
10,1454889571,0.005
11,1454889572,0.005
12,1454889573,0.007
13,1454889574,0.007
14,1454889575,0.007
15,1454889576,0.007
16,1454889577,0.009
17,1454889578,0.01
18,1454889579,0.011
19,1454889580,0.012
20,1454889581,0.012
21,1454889582,0.015
22,1454889583,0.016
23,1454889584,0.016
24,1454889585,0.017
25,1454889586,0.018
26,1454889587,0.018
27,1454889588,0.019
28,1454889589,0.02
29,1454889590,0.021
30,1454889591,0.022
31,1454889592,0.022
32,1454889593,0.023
33,1454889594,0.024
34,1454889595,0.024
35,1454889596,0.026
36,1454889597,0.027
37,1454889598,0.027
38,1454889599,0.029
39,1454889600,0.03
