,unixdatetime,value
0,1457999961,0.0
1,1457999962,0.001
2,1457999963,0.001
3,1457999964,0.001
4,1457999965,0.001
5,1457999966,0.001
6,1457999967,0.002
7,1457999968,0.002
8,1457999969,0.003
9,1457999970,0.003
10,1457999971,0.003
11,1457999972,0.003
12,1457999973,0.004
13,1457999974,0.004
14,1457999975,0.004
15,1457999976,0.005
16,1457999977,0.005
17,1457999978,0.005
18,1457999979,0.005
19,1457999980,0.005
20,1457999981,0.005
21,1457999982,0.006
22,1457999983,0.006
23,1457999984,0.006
24,1457999985,0.007
25,1457999986,0.007
26,1457999987,0.007
27,1457999988,0.007
28,1457999989,0.007
29,1457999990,0.008
30,1457999991,0.008
31,1457999992,0.008
32,1457999993,0.008
33,1457999994,0.009
34,1457999995,0.009
35,1457999996,0.009
36,1457999997,0.009
37,1457999998,0.009
38,1457999999,0.01
39,1458000000,0.01
