,unixdatetime,value
0,1458863961,0.001
1,1458863962,0.005
2,1458863963,0.005
3,1458863964,0.008
4,1458863965,0.009
5,1458863966,0.011
6,1458863967,0.022
7,1458863968,0.024
8,1458863969,0.027
9,1458863970,0.034
10,1458863971,0.035
11,1458863972,0.037
12,1458863973,0.039
13,1458863974,0.053
14,1458863975,0.056
15,1458863976,0.059
16,1458863977,0.059
17,1458863978,0.063
18,1458863979,0.066
19,1458863980,0.068
20,1458863981,0.071
21,1458863982,0.073
22,1458863983,0.079
23,1458863984,0.079
24,1458863985,0.083
25,1458863986,0.089
26,1458863987,0.09
27,1458863988,0.091
28,1458863989,0.091
29,1458863990,0.091
30,1458863991,0.096
31,1458863992,0.097
32,1458863993,0.103
33,1458863994,0.128
34,1458863995,0.137
35,1458863996,0.144
36,1458863997,0.144
37,1458863998,0.153
38,1458863999,0.155
39,1458864000,0.16
