,unixdatetime,value
0,1463702361,0.001
1,1463702362,0.001
2,1463702363,0.002
3,1463702364,0.003
4,1463702365,0.005
5,1463702366,0.005
6,1463702367,0.006
7,1463702368,0.006
8,1463702369,0.007
9,1463702370,0.007
10,1463702371,0.008
11,1463702372,0.008
12,1463702373,0.008
13,1463702374,0.009
14,1463702375,0.009
15,1463702376,0.01
16,1463702377,0.01
17,1463702378,0.011
18,1463702379,0.012
19,1463702380,0.012
20,1463702381,0.012
21,1463702382,0.014
22,1463702383,0.014
23,1463702384,0.014
24,1463702385,0.015
25,1463702386,0.015
26,1463702387,0.015
27,1463702388,0.016
28,1463702389,0.016
29,1463702390,0.017
30,1463702391,0.018
31,1463702392,0.018
32,1463702393,0.018
33,1463702394,0.018
34,1463702395,0.018
35,1463702396,0.019
36,1463702397,0.02
37,1463702398,0.02
38,1463702399,0.02
39,1463702400,0.02
