,unixdatetime,value
0,1460419161,0.0
1,1460419162,0.0
2,1460419163,0.0
3,1460419164,0.0
4,1460419165,0.001
5,1460419166,0.004
6,1460419167,0.005
7,1460419168,0.005
8,1460419169,0.006
9,1460419170,0.008
10,1460419171,0.008
11,1460419172,0.012
12,1460419173,0.013
13,1460419174,0.013
14,1460419175,0.013
15,1460419176,0.017
16,1460419177,0.017
17,1460419178,0.018
18,1460419179,0.018
19,1460419180,0.02
20,1460419181,0.021
21,1460419182,0.023
22,1460419183,0.023
23,1460419184,0.026
24,1460419185,0.027
25,1460419186,0.027
26,1460419187,0.027
27,1460419188,0.027
28,1460419189,0.03
29,1460419190,0.03
30,1460419191,0.032
31,1460419192,0.032
32,1460419193,0.033
33,1460419194,0.034
34,1460419195,0.035
35,1460419196,0.036
36,1460419197,0.037
37,1460419198,0.037
38,1460419199,0.038
39,1460419200,0.04
