,unixdatetime,value
0,1469836761,0.002
1,1469836762,0.025
2,1469836763,0.093
3,1469836764,0.141
4,1469836765,0.173
5,1469836766,0.193
6,1469836767,0.247
7,1469836768,0.262
8,1469836769,0.306
9,1469836770,0.307
10,1469836771,0.315
11,1469836772,0.322
12,1469836773,0.352
13,1469836774,0.37
14,1469836775,0.375
15,1469836776,0.385
16,1469836777,0.459
17,1469836778,0.47
18,1469836779,0.477
19,1469836780,0.481
20,1469836781,0.499
21,1469836782,0.505
22,1469836783,0.613
23,1469836784,0.619
24,1469836785,0.644
25,1469836786,0.733
26,1469836787,0.743
27,1469836788,0.767
28,1469836789,0.774
29,1469836790,0.833
30,1469836791,0.858
31,1469836792,0.867
32,1469836793,0.88
33,1469836794,0.93
34,1469836795,0.946
35,1469836796,0.95
36,1469836797,1.016
37,1469836798,1.023
38,1469836799,1.07
39,1469836800,1.07
