,unixdatetime,value
0,1460332761,0.002
1,1460332762,0.003
2,1460332763,0.004
3,1460332764,0.009
4,1460332765,0.014
5,1460332766,0.067
6,1460332767,0.067
7,1460332768,0.078
8,1460332769,0.082
9,1460332770,0.122
10,1460332771,0.13
11,1460332772,0.141
12,1460332773,0.204
13,1460332774,0.227
14,1460332775,0.235
15,1460332776,0.255
16,1460332777,0.268
17,1460332778,0.283
18,1460332779,0.294
19,1460332780,0.294
20,1460332781,0.297
21,1460332782,0.329
22,1460332783,0.332
23,1460332784,0.344
24,1460332785,0.355
25,1460332786,0.355
26,1460332787,0.366
27,1460332788,0.366
28,1460332789,0.385
29,1460332790,0.422
30,1460332791,0.454
31,1460332792,0.463
32,1460332793,0.49
33,1460332794,0.496
34,1460332795,0.555
35,1460332796,0.58
36,1460332797,0.595
37,1460332798,0.596
38,1460332799,0.598
39,1460332800,0.62
