,unixdatetime,value
0,1458345561,0.0
1,1458345562,0.0
2,1458345563,0.0
3,1458345564,0.001
4,1458345565,0.001
5,1458345566,0.003
6,1458345567,0.004
7,1458345568,0.006
8,1458345569,0.006
9,1458345570,0.007
10,1458345571,0.007
11,1458345572,0.008
12,1458345573,0.009
13,1458345574,0.009
14,1458345575,0.009
15,1458345576,0.009
16,1458345577,0.012
17,1458345578,0.012
18,1458345579,0.012
19,1458345580,0.013
20,1458345581,0.014
21,1458345582,0.014
22,1458345583,0.015
23,1458345584,0.016
24,1458345585,0.016
25,1458345586,0.017
26,1458345587,0.017
27,1458345588,0.018
28,1458345589,0.021
29,1458345590,0.023
30,1458345591,0.023
31,1458345592,0.025
32,1458345593,0.025
33,1458345594,0.025
34,1458345595,0.027
35,1458345596,0.028
36,1458345597,0.028
37,1458345598,0.029
38,1458345599,0.029
39,1458345600,0.03
