,unixdatetime,value
0,1460073561,0.002
1,1460073562,0.006
2,1460073563,0.007
3,1460073564,0.007
4,1460073565,0.008
5,1460073566,0.008
6,1460073567,0.009
7,1460073568,0.009
8,1460073569,0.009
9,1460073570,0.01
10,1460073571,0.011
11,1460073572,0.011
12,1460073573,0.012
13,1460073574,0.013
14,1460073575,0.013
15,1460073576,0.014
16,1460073577,0.015
17,1460073578,0.015
18,1460073579,0.015
19,1460073580,0.017
20,1460073581,0.018
21,1460073582,0.018
22,1460073583,0.019
23,1460073584,0.02
24,1460073585,0.02
25,1460073586,0.022
26,1460073587,0.024
27,1460073588,0.024
28,1460073589,0.03
29,1460073590,0.03
30,1460073591,0.03
31,1460073592,0.032
32,1460073593,0.032
33,1460073594,0.033
34,1460073595,0.033
35,1460073596,0.035
36,1460073597,0.037
37,1460073598,0.037
38,1460073599,0.038
39,1460073600,0.04
