,unixdatetime,value
0,1452729561,0.003
1,1452729562,0.004
2,1452729563,0.006
3,1452729564,0.007
4,1452729565,0.019
5,1452729566,0.02
6,1452729567,0.022
7,1452729568,0.038
8,1452729569,0.047
9,1452729570,0.047
10,1452729571,0.048
11,1452729572,0.051
12,1452729573,0.053
13,1452729574,0.053
14,1452729575,0.055
15,1452729576,0.056
16,1452729577,0.056
17,1452729578,0.059
18,1452729579,0.064
19,1452729580,0.065
20,1452729581,0.067
21,1452729582,0.072
22,1452729583,0.08
23,1452729584,0.08
24,1452729585,0.081
25,1452729586,0.084
26,1452729587,0.086
27,1452729588,0.087
28,1452729589,0.09
29,1452729590,0.091
30,1452729591,0.092
31,1452729592,0.098
32,1452729593,0.099
33,1452729594,0.102
34,1452729595,0.106
35,1452729596,0.11
36,1452729597,0.112
37,1452729598,0.117
38,1452729599,0.119
39,1452729600,0.12
