,unixdatetime,value
0,1466121561,0.001
1,1466121562,0.001
2,1466121563,0.002
3,1466121564,0.002
4,1466121565,0.004
5,1466121566,0.004
6,1466121567,0.004
7,1466121568,0.004
8,1466121569,0.005
9,1466121570,0.006
10,1466121571,0.006
11,1466121572,0.008
12,1466121573,0.009
13,1466121574,0.012
14,1466121575,0.013
15,1466121576,0.013
16,1466121577,0.014
17,1466121578,0.014
18,1466121579,0.015
19,1466121580,0.016
20,1466121581,0.019
21,1466121582,0.02
22,1466121583,0.024
23,1466121584,0.024
24,1466121585,0.024
25,1466121586,0.025
26,1466121587,0.026
27,1466121588,0.026
28,1466121589,0.029
29,1466121590,0.03
30,1466121591,0.03
31,1466121592,0.03
32,1466121593,0.033
33,1466121594,0.034
34,1466121595,0.035
35,1466121596,0.037
36,1466121597,0.037
37,1466121598,0.038
38,1466121599,0.039
39,1466121600,0.04
