,unixdatetime,value
0,1469145561,0.063
1,1469145562,0.066
2,1469145563,0.07
3,1469145564,0.116
4,1469145565,0.122
5,1469145566,0.139
6,1469145567,0.159
7,1469145568,0.16
8,1469145569,0.168
9,1469145570,0.194
10,1469145571,0.196
11,1469145572,0.209
12,1469145573,0.221
13,1469145574,0.247
14,1469145575,0.247
15,1469145576,0.253
16,1469145577,0.255
17,1469145578,0.264
18,1469145579,0.265
19,1469145580,0.279
20,1469145581,0.292
21,1469145582,0.305
22,1469145583,0.316
23,1469145584,0.333
24,1469145585,0.343
25,1469145586,0.369
26,1469145587,0.39
27,1469145588,0.408
28,1469145589,0.412
29,1469145590,0.453
30,1469145591,0.468
31,1469145592,0.498
32,1469145593,0.513
33,1469145594,0.545
34,1469145595,0.548
35,1469145596,0.622
36,1469145597,0.697
37,1469145598,0.723
38,1469145599,0.749
39,1469145600,0.83
