,unixdatetime,value
0,1464479961,0.013
1,1464479962,0.017
2,1464479963,0.017
3,1464479964,0.031
4,1464479965,0.053
5,1464479966,0.06
6,1464479967,0.073
7,1464479968,0.08
8,1464479969,0.095
9,1464479970,0.103
10,1464479971,0.112
11,1464479972,0.143
12,1464479973,0.159
13,1464479974,0.207
14,1464479975,0.219
15,1464479976,0.231
16,1464479977,0.232
17,1464479978,0.237
18,1464479979,0.246
19,1464479980,0.259
20,1464479981,0.272
21,1464479982,0.278
22,1464479983,0.295
23,1464479984,0.297
24,1464479985,0.297
25,1464479986,0.318
26,1464479987,0.318
27,1464479988,0.35
28,1464479989,0.371
29,1464479990,0.375
30,1464479991,0.396
31,1464479992,0.408
32,1464479993,0.415
33,1464479994,0.451
34,1464479995,0.485
35,1464479996,0.491
36,1464479997,0.522
37,1464479998,0.541
38,1464479999,0.546
39,1464480000,0.55
