,unixdatetime,value
0,1461628761,0.001
1,1461628762,0.002
2,1461628763,0.005
3,1461628764,0.018
4,1461628765,0.023
5,1461628766,0.023
6,1461628767,0.024
7,1461628768,0.026
8,1461628769,0.028
9,1461628770,0.047
10,1461628771,0.047
11,1461628772,0.049
12,1461628773,0.058
13,1461628774,0.064
14,1461628775,0.071
15,1461628776,0.073
16,1461628777,0.074
17,1461628778,0.079
18,1461628779,0.093
19,1461628780,0.098
20,1461628781,0.102
21,1461628782,0.103
22,1461628783,0.116
23,1461628784,0.117
24,1461628785,0.127
25,1461628786,0.129
26,1461628787,0.133
27,1461628788,0.136
28,1461628789,0.137
29,1461628790,0.137
30,1461628791,0.145
31,1461628792,0.15
32,1461628793,0.153
33,1461628794,0.159
34,1461628795,0.169
35,1461628796,0.17
36,1461628797,0.171
37,1461628798,0.177
38,1461628799,0.18
39,1461628800,0.18
