,unixdatetime,value
0,1452297561,0.001
1,1452297562,0.001
2,1452297563,0.003
3,1452297564,0.004
4,1452297565,0.006
5,1452297566,0.007
6,1452297567,0.008
7,1452297568,0.011
8,1452297569,0.011
9,1452297570,0.011
10,1452297571,0.012
11,1452297572,0.013
12,1452297573,0.02
13,1452297574,0.023
14,1452297575,0.024
15,1452297576,0.026
16,1452297577,0.027
17,1452297578,0.028
18,1452297579,0.028
19,1452297580,0.028
20,1452297581,0.028
21,1452297582,0.029
22,1452297583,0.034
23,1452297584,0.036
24,1452297585,0.038
25,1452297586,0.038
26,1452297587,0.038
27,1452297588,0.038
28,1452297589,0.04
29,1452297590,0.041
30,1452297591,0.041
31,1452297592,0.042
32,1452297593,0.043
33,1452297594,0.043
34,1452297595,0.043
35,1452297596,0.045
36,1452297597,0.046
37,1452297598,0.046
38,1452297599,0.049
39,1452297600,0.05
