,unixdatetime,value
0,1457049561,0.009
1,1457049562,0.011
2,1457049563,0.011
3,1457049564,0.019
4,1457049565,0.021
5,1457049566,0.023
6,1457049567,0.025
7,1457049568,0.029
8,1457049569,0.031
9,1457049570,0.036
10,1457049571,0.037
11,1457049572,0.037
12,1457049573,0.038
13,1457049574,0.039
14,1457049575,0.039
15,1457049576,0.04
16,1457049577,0.041
17,1457049578,0.045
18,1457049579,0.046
19,1457049580,0.048
20,1457049581,0.054
21,1457049582,0.059
22,1457049583,0.059
23,1457049584,0.065
24,1457049585,0.066
25,1457049586,0.069
26,1457049587,0.077
27,1457049588,0.078
28,1457049589,0.079
29,1457049590,0.081
30,1457049591,0.084
31,1457049592,0.085
32,1457049593,0.089
33,1457049594,0.09
34,1457049595,0.093
35,1457049596,0.093
36,1457049597,0.093
37,1457049598,0.094
38,1457049599,0.109
39,1457049600,0.11
