,unixdatetime,value
0,1459209561,0.0
1,1459209562,0.0
2,1459209563,0.002
3,1459209564,0.002
4,1459209565,0.002
5,1459209566,0.003
6,1459209567,0.003
7,1459209568,0.003
8,1459209569,0.003
9,1459209570,0.003
10,1459209571,0.004
11,1459209572,0.004
12,1459209573,0.004
13,1459209574,0.005
14,1459209575,0.005
15,1459209576,0.005
16,1459209577,0.005
17,1459209578,0.005
18,1459209579,0.005
19,1459209580,0.005
20,1459209581,0.006
21,1459209582,0.006
22,1459209583,0.006
23,1459209584,0.007
24,1459209585,0.007
25,1459209586,0.007
26,1459209587,0.008
27,1459209588,0.008
28,1459209589,0.009
29,1459209590,0.009
30,1459209591,0.009
31,1459209592,0.009
32,1459209593,0.009
33,1459209594,0.009
34,1459209595,0.009
35,1459209596,0.01
36,1459209597,0.01
37,1459209598,0.01
38,1459209599,0.01
39,1459209600,0.01
