,unixdatetime,value
0,1466035161,0.006
1,1466035162,0.201
2,1466035163,0.316
3,1466035164,0.354
4,1466035165,0.399
5,1466035166,0.414
6,1466035167,0.48
7,1466035168,0.491
8,1466035169,0.506
9,1466035170,0.569
10,1466035171,0.576
11,1466035172,0.65
12,1466035173,0.669
13,1466035174,0.716
14,1466035175,0.733
15,1466035176,0.734
16,1466035177,0.821
17,1466035178,0.897
18,1466035179,0.983
19,1466035180,1.071
20,1466035181,1.078
21,1466035182,1.226
22,1466035183,1.251
23,1466035184,1.263
24,1466035185,1.265
25,1466035186,1.283
26,1466035187,1.358
27,1466035188,1.382
28,1466035189,1.423
29,1466035190,1.454
30,1466035191,1.529
31,1466035192,1.573
32,1466035193,1.64
33,1466035194,1.649
34,1466035195,1.663
35,1466035196,1.681
36,1466035197,1.694
37,1466035198,1.707
38,1466035199,1.709
39,1466035200,1.73
