,unixdatetime,value
0,1460246361,0.0
1,1460246362,0.0
2,1460246363,0.001
3,1460246364,0.001
4,1460246365,0.001
5,1460246366,0.001
6,1460246367,0.002
7,1460246368,0.002
8,1460246369,0.002
9,1460246370,0.002
10,1460246371,0.002
11,1460246372,0.002
12,1460246373,0.003
13,1460246374,0.003
14,1460246375,0.003
15,1460246376,0.004
16,1460246377,0.004
17,1460246378,0.004
18,1460246379,0.005
19,1460246380,0.005
20,1460246381,0.005
21,1460246382,0.005
22,1460246383,0.006
23,1460246384,0.006
24,1460246385,0.006
25,1460246386,0.006
26,1460246387,0.006
27,1460246388,0.007
28,1460246389,0.007
29,1460246390,0.007
30,1460246391,0.007
31,1460246392,0.008
32,1460246393,0.008
33,1460246394,0.009
34,1460246395,0.009
35,1460246396,0.009
36,1460246397,0.01
37,1460246398,0.01
38,1460246399,0.01
39,1460246400,0.01
