,unixdatetime,value
0,1461974361,0.002
1,1461974362,0.004
2,1461974363,0.005
3,1461974364,0.007
4,1461974365,0.007
5,1461974366,0.009
6,1461974367,0.014
7,1461974368,0.014
8,1461974369,0.019
9,1461974370,0.022
10,1461974371,0.024
11,1461974372,0.029
12,1461974373,0.036
13,1461974374,0.039
14,1461974375,0.041
15,1461974376,0.046
16,1461974377,0.052
17,1461974378,0.055
18,1461974379,0.057
19,1461974380,0.057
20,1461974381,0.061
21,1461974382,0.061
22,1461974383,0.066
23,1461974384,0.067
24,1461974385,0.069
25,1461974386,0.073
26,1461974387,0.075
27,1461974388,0.078
28,1461974389,0.082
29,1461974390,0.085
30,1461974391,0.097
31,1461974392,0.101
32,1461974393,0.108
33,1461974394,0.113
34,1461974395,0.118
35,1461974396,0.118
36,1461974397,0.125
37,1461974398,0.128
38,1461974399,0.129
39,1461974400,0.13
