,unixdatetime,value
0,1463961561,0.0
1,1463961562,0.0
2,1463961563,0.0
3,1463961564,0.0
4,1463961565,0.0
5,1463961566,0.0
6,1463961567,0.001
7,1463961568,0.002
8,1463961569,0.002
9,1463961570,0.002
10,1463961571,0.003
11,1463961572,0.003
12,1463961573,0.003
13,1463961574,0.003
14,1463961575,0.003
15,1463961576,0.003
16,1463961577,0.004
17,1463961578,0.004
18,1463961579,0.004
19,1463961580,0.004
20,1463961581,0.005
21,1463961582,0.005
22,1463961583,0.005
23,1463961584,0.005
24,1463961585,0.006
25,1463961586,0.007
26,1463961587,0.007
27,1463961588,0.007
28,1463961589,0.008
29,1463961590,0.008
30,1463961591,0.008
31,1463961592,0.008
32,1463961593,0.008
33,1463961594,0.009
34,1463961595,0.009
35,1463961596,0.009
36,1463961597,0.01
37,1463961598,0.01
38,1463961599,0.01
39,1463961600,0.01
