,unixdatetime,value
0,1468799961,0.0
1,1468799962,0.001
2,1468799963,0.001
3,1468799964,0.001
4,1468799965,0.001
5,1468799966,0.002
6,1468799967,0.002
7,1468799968,0.002
8,1468799969,0.002
9,1468799970,0.002
10,1468799971,0.002
11,1468799972,0.002
12,1468799973,0.002
13,1468799974,0.003
14,1468799975,0.003
15,1468799976,0.003
16,1468799977,0.004
17,1468799978,0.004
18,1468799979,0.005
19,1468799980,0.005
20,1468799981,0.005
21,1468799982,0.005
22,1468799983,0.005
23,1468799984,0.005
24,1468799985,0.005
25,1468799986,0.005
26,1468799987,0.005
27,1468799988,0.005
28,1468799989,0.006
29,1468799990,0.006
30,1468799991,0.007
31,1468799992,0.007
32,1468799993,0.008
33,1468799994,0.008
34,1468799995,0.009
35,1468799996,0.009
36,1468799997,0.01
37,1468799998,0.01
38,1468799999,0.01
39,1468800000,0.01
