,unixdatetime,value
0,1463097561,0.004
1,1463097562,0.026
2,1463097563,0.031
3,1463097564,0.034
4,1463097565,0.046
5,1463097566,0.047
6,1463097567,0.048
7,1463097568,0.051
8,1463097569,0.056
9,1463097570,0.062
10,1463097571,0.063
11,1463097572,0.067
12,1463097573,0.068
13,1463097574,0.069
14,1463097575,0.073
15,1463097576,0.076
16,1463097577,0.077
17,1463097578,0.081
18,1463097579,0.081
19,1463097580,0.083
20,1463097581,0.085
21,1463097582,0.093
22,1463097583,0.093
23,1463097584,0.11
24,1463097585,0.115
25,1463097586,0.128
26,1463097587,0.132
27,1463097588,0.134
28,1463097589,0.14
29,1463097590,0.145
30,1463097591,0.145
31,1463097592,0.145
32,1463097593,0.151
33,1463097594,0.152
34,1463097595,0.159
35,1463097596,0.162
36,1463097597,0.164
37,1463097598,0.17
38,1463097599,0.17
39,1463097600,0.17
