,unixdatetime,value
0,1454284761,0.001
1,1454284762,0.004
2,1454284763,0.005
3,1454284764,0.007
4,1454284765,0.007
5,1454284766,0.01
6,1454284767,0.01
7,1454284768,0.011
8,1454284769,0.012
9,1454284770,0.012
10,1454284771,0.014
11,1454284772,0.015
12,1454284773,0.016
13,1454284774,0.021
14,1454284775,0.023
15,1454284776,0.024
16,1454284777,0.025
17,1454284778,0.027
18,1454284779,0.028
19,1454284780,0.034
20,1454284781,0.034
21,1454284782,0.037
22,1454284783,0.037
23,1454284784,0.039
24,1454284785,0.044
25,1454284786,0.046
26,1454284787,0.047
27,1454284788,0.047
28,1454284789,0.047
29,1454284790,0.051
30,1454284791,0.052
31,1454284792,0.052
32,1454284793,0.053
33,1454284794,0.053
34,1454284795,0.053
35,1454284796,0.058
36,1454284797,0.058
37,1454284798,0.059
38,1454284799,0.06
39,1454284800,0.06
