,unixdatetime,value
0,1465948761,0.01
1,1465948762,0.01
2,1465948763,0.018
3,1465948764,0.023
4,1465948765,0.026
5,1465948766,0.027
6,1465948767,0.03
7,1465948768,0.033
8,1465948769,0.034
9,1465948770,0.035
10,1465948771,0.036
11,1465948772,0.04
12,1465948773,0.042
13,1465948774,0.045
14,1465948775,0.05
15,1465948776,0.05
16,1465948777,0.054
17,1465948778,0.059
18,1465948779,0.069
19,1465948780,0.078
20,1465948781,0.087
21,1465948782,0.091
22,1465948783,0.094
23,1465948784,0.094
24,1465948785,0.095
25,1465948786,0.104
26,1465948787,0.115
27,1465948788,0.12
28,1465948789,0.144
29,1465948790,0.144
30,1465948791,0.151
31,1465948792,0.153
32,1465948793,0.153
33,1465948794,0.18
34,1465948795,0.183
35,1465948796,0.184
36,1465948797,0.187
37,1465948798,0.196
38,1465948799,0.205
39,1465948800,0.21
