,unixdatetime,value
0,1455580761,0.042
1,1455580762,0.047
2,1455580763,0.101
3,1455580764,0.149
4,1455580765,0.152
5,1455580766,0.169
6,1455580767,0.219
7,1455580768,0.308
8,1455580769,0.331
9,1455580770,0.358
10,1455580771,0.379
11,1455580772,0.4
12,1455580773,0.408
13,1455580774,0.44
14,1455580775,0.454
15,1455580776,0.534
16,1455580777,0.589
17,1455580778,0.657
18,1455580779,0.69
19,1455580780,0.703
20,1455580781,0.716
21,1455580782,0.723
22,1455580783,0.776
23,1455580784,0.788
24,1455580785,0.796
25,1455580786,0.823
26,1455580787,0.847
27,1455580788,0.862
28,1455580789,0.881
29,1455580790,0.89
30,1455580791,0.961
31,1455580792,0.971
32,1455580793,1.064
33,1455580794,1.075
34,1455580795,1.099
35,1455580796,1.144
36,1455580797,1.154
37,1455580798,1.255
38,1455580799,1.274
39,1455580800,1.29
