,unixdatetime,value
0,1462924761,0.0
1,1462924762,0.001
2,1462924763,0.001
3,1462924764,0.002
4,1462924765,0.002
5,1462924766,0.002
6,1462924767,0.003
7,1462924768,0.003
8,1462924769,0.003
9,1462924770,0.003
10,1462924771,0.003
11,1462924772,0.004
12,1462924773,0.004
13,1462924774,0.004
14,1462924775,0.005
15,1462924776,0.005
16,1462924777,0.005
17,1462924778,0.005
18,1462924779,0.006
19,1462924780,0.006
20,1462924781,0.006
21,1462924782,0.007
22,1462924783,0.007
23,1462924784,0.007
24,1462924785,0.008
25,1462924786,0.008
26,1462924787,0.008
27,1462924788,0.008
28,1462924789,0.008
29,1462924790,0.008
30,1462924791,0.008
31,1462924792,0.009
32,1462924793,0.009
33,1462924794,0.009
34,1462924795,0.009
35,1462924796,0.009
36,1462924797,0.01
37,1462924798,0.01
38,1462924799,0.01
39,1462924800,0.01
