,unixdatetime,value
0,1459987161,0.043
1,1459987162,0.045
2,1459987163,0.057
3,1459987164,0.059
4,1459987165,0.068
5,1459987166,0.084
6,1459987167,0.088
7,1459987168,0.107
8,1459987169,0.109
9,1459987170,0.12
10,1459987171,0.128
11,1459987172,0.144
12,1459987173,0.158
13,1459987174,0.17
14,1459987175,0.177
15,1459987176,0.181
16,1459987177,0.182
17,1459987178,0.194
18,1459987179,0.196
19,1459987180,0.199
20,1459987181,0.207
21,1459987182,0.266
22,1459987183,0.278
23,1459987184,0.28
24,1459987185,0.283
25,1459987186,0.288
26,1459987187,0.291
27,1459987188,0.308
28,1459987189,0.315
29,1459987190,0.334
30,1459987191,0.338
31,1459987192,0.348
32,1459987193,0.356
33,1459987194,0.377
34,1459987195,0.379
35,1459987196,0.409
36,1459987197,0.424
37,1459987198,0.427
38,1459987199,0.439
39,1459987200,0.45
