,unixdatetime,value
0,1467590361,0.002
1,1467590362,0.007
2,1467590363,0.007
3,1467590364,0.007
4,1467590365,0.011
5,1467590366,0.015
6,1467590367,0.02
7,1467590368,0.02
8,1467590369,0.021
9,1467590370,0.022
10,1467590371,0.027
11,1467590372,0.027
12,1467590373,0.029
13,1467590374,0.037
14,1467590375,0.044
15,1467590376,0.046
16,1467590377,0.049
17,1467590378,0.053
18,1467590379,0.055
19,1467590380,0.057
20,1467590381,0.065
21,1467590382,0.067
22,1467590383,0.071
23,1467590384,0.072
24,1467590385,0.075
25,1467590386,0.081
26,1467590387,0.082
27,1467590388,0.087
28,1467590389,0.088
29,1467590390,0.09
30,1467590391,0.1
31,1467590392,0.105
32,1467590393,0.106
33,1467590394,0.111
34,1467590395,0.114
35,1467590396,0.116
36,1467590397,0.124
37,1467590398,0.129
38,1467590399,0.129
39,1467590400,0.13
