,unixdatetime,value
0,1463788761,0.056
1,1463788762,0.096
2,1463788763,0.105
3,1463788764,0.134
4,1463788765,0.186
5,1463788766,0.229
6,1463788767,0.266
7,1463788768,0.325
8,1463788769,0.331
9,1463788770,0.353
10,1463788771,0.367
11,1463788772,0.393
12,1463788773,0.494
13,1463788774,0.535
14,1463788775,0.539
15,1463788776,0.592
16,1463788777,0.635
17,1463788778,0.655
18,1463788779,0.721
19,1463788780,0.731
20,1463788781,0.74
21,1463788782,0.759
22,1463788783,0.79
23,1463788784,0.866
24,1463788785,0.87
25,1463788786,0.95
26,1463788787,0.976
27,1463788788,1.014
28,1463788789,1.055
29,1463788790,1.061
30,1463788791,1.078
31,1463788792,1.082
32,1463788793,1.098
33,1463788794,1.1
34,1463788795,1.108
35,1463788796,1.12
36,1463788797,1.123
37,1463788798,1.157
38,1463788799,1.165
39,1463788800,1.17
