,unixdatetime,value
0,1459468761,0.0
1,1459468762,0.0
2,1459468763,0.001
3,1459468764,0.004
4,1459468765,0.004
5,1459468766,0.005
6,1459468767,0.006
7,1459468768,0.009
8,1459468769,0.012
9,1459468770,0.012
10,1459468771,0.013
11,1459468772,0.014
12,1459468773,0.015
13,1459468774,0.016
14,1459468775,0.017
15,1459468776,0.017
16,1459468777,0.017
17,1459468778,0.018
18,1459468779,0.019
19,1459468780,0.02
20,1459468781,0.02
21,1459468782,0.022
22,1459468783,0.022
23,1459468784,0.023
24,1459468785,0.024
25,1459468786,0.027
26,1459468787,0.029
27,1459468788,0.029
28,1459468789,0.03
29,1459468790,0.03
30,1459468791,0.031
31,1459468792,0.031
32,1459468793,0.033
33,1459468794,0.033
34,1459468795,0.034
35,1459468796,0.037
36,1459468797,0.038
37,1459468798,0.039
38,1459468799,0.039
39,1459468800,0.04
