,unixdatetime,value
0,1454457561,0.008
1,1454457562,0.018
2,1454457563,0.021
3,1454457564,0.026
4,1454457565,0.038
5,1454457566,0.053
6,1454457567,0.062
7,1454457568,0.08
8,1454457569,0.14
9,1454457570,0.155
10,1454457571,0.163
11,1454457572,0.171
12,1454457573,0.193
13,1454457574,0.198
14,1454457575,0.202
15,1454457576,0.203
16,1454457577,0.207
17,1454457578,0.218
18,1454457579,0.221
19,1454457580,0.23
20,1454457581,0.242
21,1454457582,0.249
22,1454457583,0.258
23,1454457584,0.264
24,1454457585,0.293
25,1454457586,0.327
26,1454457587,0.34
27,1454457588,0.357
28,1454457589,0.359
29,1454457590,0.367
30,1454457591,0.388
31,1454457592,0.394
32,1454457593,0.405
33,1454457594,0.429
34,1454457595,0.438
35,1454457596,0.45
36,1454457597,0.451
37,1454457598,0.47
38,1454457599,0.477
39,1454457600,0.49
