,unixdatetime,value
0,1458777561,0.002
1,1458777562,0.003
2,1458777563,0.003
3,1458777564,0.004
4,1458777565,0.004
5,1458777566,0.005
6,1458777567,0.009
7,1458777568,0.009
8,1458777569,0.011
9,1458777570,0.012
10,1458777571,0.014
11,1458777572,0.015
12,1458777573,0.016
13,1458777574,0.022
14,1458777575,0.029
15,1458777576,0.029
16,1458777577,0.029
17,1458777578,0.031
18,1458777579,0.036
19,1458777580,0.037
20,1458777581,0.041
21,1458777582,0.041
22,1458777583,0.041
23,1458777584,0.044
24,1458777585,0.046
25,1458777586,0.048
26,1458777587,0.052
27,1458777588,0.053
28,1458777589,0.054
29,1458777590,0.057
30,1458777591,0.06
31,1458777592,0.061
32,1458777593,0.062
33,1458777594,0.064
34,1458777595,0.064
35,1458777596,0.065
36,1458777597,0.065
37,1458777598,0.067
38,1458777599,0.068
39,1458777600,0.07
