,unixdatetime,value
0,1466639961,0.009
1,1466639962,0.015
2,1466639963,0.033
3,1466639964,0.038
4,1466639965,0.044
5,1466639966,0.056
6,1466639967,0.057
7,1466639968,0.07
8,1466639969,0.083
9,1466639970,0.094
10,1466639971,0.125
11,1466639972,0.125
12,1466639973,0.13
13,1466639974,0.142
14,1466639975,0.166
15,1466639976,0.183
16,1466639977,0.184
17,1466639978,0.187
18,1466639979,0.204
19,1466639980,0.213
20,1466639981,0.22
21,1466639982,0.255
22,1466639983,0.291
23,1466639984,0.298
24,1466639985,0.307
25,1466639986,0.314
26,1466639987,0.33
27,1466639988,0.336
28,1466639989,0.351
29,1466639990,0.381
30,1466639991,0.423
31,1466639992,0.438
32,1466639993,0.453
33,1466639994,0.461
34,1466639995,0.475
35,1466639996,0.496
36,1466639997,0.522
37,1466639998,0.529
38,1466639999,0.569
39,1466640000,0.57
