,unixdatetime,value
0,1462492761,0.001
1,1462492762,0.001
2,1462492763,0.002
3,1462492764,0.002
4,1462492765,0.002
5,1462492766,0.003
6,1462492767,0.003
7,1462492768,0.004
8,1462492769,0.004
9,1462492770,0.004
10,1462492771,0.004
11,1462492772,0.005
12,1462492773,0.005
13,1462492774,0.006
14,1462492775,0.007
15,1462492776,0.008
16,1462492777,0.008
17,1462492778,0.008
18,1462492779,0.008
19,1462492780,0.011
20,1462492781,0.011
21,1462492782,0.011
22,1462492783,0.014
23,1462492784,0.017
24,1462492785,0.019
25,1462492786,0.019
26,1462492787,0.021
27,1462492788,0.022
28,1462492789,0.023
29,1462492790,0.023
30,1462492791,0.024
31,1462492792,0.024
32,1462492793,0.025
33,1462492794,0.027
34,1462492795,0.028
35,1462492796,0.028
36,1462492797,0.029
37,1462492798,0.029
38,1462492799,0.029
39,1462492800,0.03
