,unixdatetime,value
0,1460159961,0.002
1,1460159962,0.004
2,1460159963,0.006
3,1460159964,0.006
4,1460159965,0.015
5,1460159966,0.019
6,1460159967,0.023
7,1460159968,0.024
8,1460159969,0.026
9,1460159970,0.028
10,1460159971,0.031
11,1460159972,0.033
12,1460159973,0.035
13,1460159974,0.036
14,1460159975,0.036
15,1460159976,0.041
16,1460159977,0.042
17,1460159978,0.047
18,1460159979,0.047
19,1460159980,0.048
20,1460159981,0.05
21,1460159982,0.053
22,1460159983,0.062
23,1460159984,0.067
24,1460159985,0.071
25,1460159986,0.072
26,1460159987,0.072
27,1460159988,0.072
28,1460159989,0.073
29,1460159990,0.075
30,1460159991,0.08
31,1460159992,0.082
32,1460159993,0.085
33,1460159994,0.089
34,1460159995,0.093
35,1460159996,0.093
36,1460159997,0.098
37,1460159998,0.098
38,1460159999,0.099
39,1460160000,0.1
