,unixdatetime,value
0,1463529561,0.006
1,1463529562,0.023
2,1463529563,0.03
3,1463529564,0.03
4,1463529565,0.031
5,1463529566,0.041
6,1463529567,0.042
7,1463529568,0.056
8,1463529569,0.057
9,1463529570,0.067
10,1463529571,0.073
11,1463529572,0.075
12,1463529573,0.077
13,1463529574,0.079
14,1463529575,0.092
15,1463529576,0.121
16,1463529577,0.125
17,1463529578,0.139
18,1463529579,0.148
19,1463529580,0.153
20,1463529581,0.174
21,1463529582,0.18
22,1463529583,0.181
23,1463529584,0.187
24,1463529585,0.187
25,1463529586,0.191
26,1463529587,0.209
27,1463529588,0.218
28,1463529589,0.218
29,1463529590,0.223
30,1463529591,0.226
31,1463529592,0.245
32,1463529593,0.256
33,1463529594,0.258
34,1463529595,0.262
35,1463529596,0.27
36,1463529597,0.281
37,1463529598,0.288
38,1463529599,0.298
39,1463529600,0.3
