,unixdatetime,value
0,1452902361,0.0
1,1452902362,0.0
2,1452902363,0.004
3,1452902364,0.006
4,1452902365,0.006
5,1452902366,0.007
6,1452902367,0.008
7,1452902368,0.012
8,1452902369,0.013
9,1452902370,0.014
10,1452902371,0.014
11,1452902372,0.014
12,1452902373,0.015
13,1452902374,0.026
14,1452902375,0.026
15,1452902376,0.026
16,1452902377,0.033
17,1452902378,0.034
18,1452902379,0.034
19,1452902380,0.035
20,1452902381,0.038
21,1452902382,0.039
22,1452902383,0.04
23,1452902384,0.04
24,1452902385,0.044
25,1452902386,0.044
26,1452902387,0.045
27,1452902388,0.047
28,1452902389,0.049
29,1452902390,0.054
30,1452902391,0.055
31,1452902392,0.057
32,1452902393,0.059
33,1452902394,0.06
34,1452902395,0.062
35,1452902396,0.064
36,1452902397,0.066
37,1452902398,0.068
38,1452902399,0.069
39,1452902400,0.07
