,unixdatetime,value
0,1454111961,0.0
1,1454111962,0.0
2,1454111963,0.001
3,1454111964,0.001
4,1454111965,0.001
5,1454111966,0.002
6,1454111967,0.003
7,1454111968,0.004
8,1454111969,0.005
9,1454111970,0.005
10,1454111971,0.005
11,1454111972,0.005
12,1454111973,0.005
13,1454111974,0.005
14,1454111975,0.006
15,1454111976,0.007
16,1454111977,0.007
17,1454111978,0.007
18,1454111979,0.007
19,1454111980,0.007
20,1454111981,0.009
21,1454111982,0.009
22,1454111983,0.01
23,1454111984,0.01
24,1454111985,0.01
25,1454111986,0.011
26,1454111987,0.011
27,1454111988,0.012
28,1454111989,0.012
29,1454111990,0.013
30,1454111991,0.013
31,1454111992,0.014
32,1454111993,0.014
33,1454111994,0.014
34,1454111995,0.014
35,1454111996,0.015
36,1454111997,0.015
37,1454111998,0.017
38,1454111999,0.017
39,1454112000,0.02
