,Unixdatetime,values
0,1458777600.0,0.11
1,1458779400.0,0.06
2,1458781200.0,0.31
3,1458783000.0,0.36
4,1458784800.0,0.05
5,1458786600.0,0.5
6,1458788400.0,0.25
7,1458790200.0,0.23
8,1458792000.0,0.43
9,1458793800.0,0.3
10,1458795600.0,0.21
11,1458797400.0,0.25
12,1458799200.0,0.75
13,1458801000.0,0.28
14,1458802800.0,0.07
15,1458804600.0,0.18
16,1458806400.0,0.01
17,1458808200.0,0.51
18,1458810000.0,0.24
19,1458811800.0,0.17
20,1458813600.0,0.14
21,1458815400.0,0.22
22,1458817200.0,0.45
23,1458819000.0,0.47
24,1458820800.0,0.18
25,1458822600.0,0.15
26,1458824400.0,0.02
27,1458826200.0,0.25
28,1458828000.0,0.14
29,1458829800.0,0.64
30,1458831600.0,0.42
31,1458833400.0,0.29
32,1458835200.0,0.31
33,1458837000.0,0.26
34,1458838800.0,0.1
35,1458840600.0,0.34
36,1458842400.0,0.2
37,1458844200.0,0.47
38,1458846000.0,0.42
39,1458847800.0,0.38
40,1458849600.0,0.25
41,1458851400.0,0.44
42,1458853200.0,0.51
43,1458855000.0,0.2
44,1458856800.0,0.69
45,1458858600.0,0.38
46,1458860400.0,0.02
47,1458862200.0,0.29
