,Unixdatetime,values
0,1463961600.0,0.38
1,1463963400.0,0.06
2,1463965200.0,0.35
3,1463967000.0,0.06
4,1463968800.0,0.09
5,1463970600.0,0.09
6,1463972400.0,0.19
7,1463974200.0,0.13
8,1463976000.0,0.01
9,1463977800.0,0.34
10,1463979600.0,0.62
11,1463981400.0,0.21
12,1463983200.0,0.03
13,1463985000.0,0.2
14,1463986800.0,0.28
15,1463988600.0,0.22
16,1463990400.0,0.36
17,1463992200.0,0.48
18,1463994000.0,0.2
19,1463995800.0,0.14
20,1463997600.0,0.1
21,1463999400.0,0.39
22,1464001200.0,0.12
23,1464003000.0,0.06
24,1464004800.0,0.16
25,1464006600.0,0.12
26,1464008400.0,0.19
27,1464010200.0,0.14
28,1464012000.0,0.02
29,1464013800.0,0.23
30,1464015600.0,0.05
31,1464017400.0,0.32
32,1464019200.0,0.27
33,1464021000.0,0.09
34,1464022800.0,0.09
35,1464024600.0,0.2
36,1464026400.0,0.09
37,1464028200.0,0.15
38,1464030000.0,0.2
39,1464031800.0,0.24
40,1464033600.0,0.07
41,1464035400.0,0.62
42,1464037200.0,0.72
43,1464039000.0,0.25
44,1464040800.0,0.34
45,1464042600.0,0.24
46,1464044400.0,0.68
47,1464046200.0,0.64
48,1464048000.0,0.32
49,1464049800.0,0.23
50,1464051600.0,0.11
51,1464053400.0,0.68
52,1464055200.0,0.33
53,1464057000.0,0.25
54,1464058800.0,0.04
55,1464060600.0,0.31
56,1464062400.0,0.23
57,1464064200.0,0.43
58,1464066000.0,0.47
59,1464067800.0,0.02
60,1464069600.0,0.08
61,1464071400.0,0.34
62,1464073200.0,0.2
63,1464075000.0,0.45
64,1464076800.0,0.47
65,1464078600.0,0.14
66,1464080400.0,0.49
67,1464082200.0,0.06
68,1464084000.0,0.13
69,1464085800.0,0.41
70,1464087600.0,0.56
71,1464089400.0,0.43
72,1464091200.0,0.3
73,1464093000.0,0.11
74,1464094800.0,0.03
75,1464096600.0,0.07
76,1464098400.0,0.08
77,1464100200.0,0.2
78,1464102000.0,0.18
79,1464103800.0,0.08
80,1464105600.0,0.08
81,1464107400.0,0.21
82,1464109200.0,0.15
83,1464111000.0,0.27
84,1464112800.0,0.48
85,1464114600.0,0.02
86,1464116400.0,0.25
87,1464118200.0,0.1
88,1464120000.0,0.59
89,1464121800.0,0.04
90,1464123600.0,0.0
91,1464125400.0,0.12
92,1464127200.0,0.61
93,1464129000.0,0.11
94,1464130800.0,0.34
95,1464132600.0,0.05
96,1464134400.0,0.61
97,1464136200.0,0.45
98,1464138000.0,0.18
99,1464139800.0,0.53
100,1464141600.0,0.24
101,1464143400.0,0.0
102,1464145200.0,0.11
103,1464147000.0,0.17
104,1464148800.0,0.16
105,1464150600.0,0.06
106,1464152400.0,0.28
107,1464154200.0,0.54
108,1464156000.0,0.33
109,1464157800.0,0.54
110,1464159600.0,0.46
111,1464161400.0,0.19
112,1464163200.0,0.23
113,1464165000.0,0.48
114,1464166800.0,0.24
115,1464168600.0,0.04
116,1464170400.0,0.21
117,1464172200.0,0.07
118,1464174000.0,0.31
119,1464175800.0,0.04
120,1464177600.0,0.25
121,1464179400.0,0.2
122,1464181200.0,0.37
123,1464183000.0,0.05
124,1464184800.0,0.71
125,1464186600.0,0.42
126,1464188400.0,0.18
127,1464190200.0,0.13
128,1464192000.0,0.33
129,1464193800.0,0.27
130,1464195600.0,0.07
131,1464197400.0,0.17
132,1464199200.0,0.5
133,1464201000.0,0.39
134,1464202800.0,0.16
135,1464204600.0,0.51
136,1464206400.0,0.28
137,1464208200.0,0.06
138,1464210000.0,0.26
139,1464211800.0,0.67
140,1464213600.0,0.04
141,1464215400.0,0.41
142,1464217200.0,0.16
143,1464219000.0,0.18
144,1464220800.0,0.41
145,1464222600.0,0.33
146,1464224400.0,0.01
147,1464226200.0,0.31
148,1464228000.0,0.02
149,1464229800.0,0.07
150,1464231600.0,0.09
151,1464233400.0,0.59
152,1464235200.0,0.34
153,1464237000.0,0.4
154,1464238800.0,0.02
155,1464240600.0,0.52
156,1464242400.0,0.2
157,1464244200.0,0.07
158,1464246000.0,0.13
159,1464247800.0,0.27
160,1464249600.0,0.35
161,1464251400.0,0.08
162,1464253200.0,0.27
163,1464255000.0,0.86
164,1464256800.0,0.18
165,1464258600.0,0.06
166,1464260400.0,0.11
167,1464262200.0,0.28
168,1464264000.0,0.14
169,1464265800.0,0.41
170,1464267600.0,0.28
171,1464269400.0,0.06
172,1464271200.0,0.39
173,1464273000.0,0.12
174,1464274800.0,0.38
175,1464276600.0,0.4
176,1464278400.0,0.62
177,1464280200.0,0.27
178,1464282000.0,0.15
179,1464283800.0,0.28
180,1464285600.0,0.11
181,1464287400.0,0.21
182,1464289200.0,0.45
183,1464291000.0,0.39
184,1464292800.0,0.71
185,1464294600.0,0.23
186,1464296400.0,0.17
187,1464298200.0,0.29
188,1464300000.0,0.22
189,1464301800.0,0.34
190,1464303600.0,0.09
191,1464305400.0,0.19
192,1464307200.0,0.36
193,1464309000.0,0.27
194,1464310800.0,0.73
195,1464312600.0,0.31
196,1464314400.0,0.15
197,1464316200.0,0.28
198,1464318000.0,0.11
199,1464319800.0,0.02
200,1464321600.0,0.29
201,1464323400.0,0.04
202,1464325200.0,0.15
203,1464327000.0,0.18
204,1464328800.0,0.25
205,1464330600.0,0.25
206,1464332400.0,0.45
207,1464334200.0,0.36
208,1464336000.0,0.19
209,1464337800.0,0.12
210,1464339600.0,0.41
211,1464341400.0,0.08
212,1464343200.0,0.17
213,1464345000.0,0.2
214,1464346800.0,0.55
215,1464348600.0,0.25
216,1464350400.0,0.26
217,1464352200.0,0.16
218,1464354000.0,0.23
219,1464355800.0,0.15
220,1464357600.0,0.21
221,1464359400.0,0.03
222,1464361200.0,0.16
223,1464363000.0,0.15
224,1464364800.0,0.08
225,1464366600.0,0.15
226,1464368400.0,0.17
227,1464370200.0,0.07
228,1464372000.0,0.06
229,1464373800.0,0.41
230,1464375600.0,0.19
231,1464377400.0,0.24
232,1464379200.0,0.39
233,1464381000.0,0.36
234,1464382800.0,0.02
235,1464384600.0,0.4
236,1464386400.0,0.2
237,1464388200.0,0.53
238,1464390000.0,0.06
239,1464391800.0,0.06
240,1464393600.0,0.13
241,1464395400.0,0.34
242,1464397200.0,0.05
243,1464399000.0,0.24
244,1464400800.0,0.22
245,1464402600.0,0.02
246,1464404400.0,0.07
247,1464406200.0,0.23
248,1464408000.0,0.28
249,1464409800.0,0.54
250,1464411600.0,0.5
251,1464413400.0,0.64
252,1464415200.0,0.0
253,1464417000.0,0.03
254,1464418800.0,0.57
255,1464420600.0,0.03
256,1464422400.0,0.02
257,1464424200.0,0.3
258,1464426000.0,0.09
259,1464427800.0,0.03
260,1464429600.0,0.03
261,1464431400.0,0.14
262,1464433200.0,0.57
263,1464435000.0,0.11
264,1464436800.0,0.36
265,1464438600.0,0.29
266,1464440400.0,0.23
267,1464442200.0,0.01
268,1464444000.0,0.01
