,Unixdatetime,values
0,1466640000.0,0.47
1,1466641800.0,0.45
2,1466643600.0,0.75
3,1466645400.0,0.64
4,1466647200.0,0.65
5,1466649000.0,0.55
6,1466650800.0,0.98
7,1466652600.0,0.51
8,1466654400.0,0.32
9,1466656200.0,0.12
10,1466658000.0,0.78
11,1466659800.0,0.9
12,1466661600.0,0.82
13,1466663400.0,0.18
14,1466665200.0,0.35
15,1466667000.0,0.21
16,1466668800.0,0.14
17,1466670600.0,0.17
18,1466672400.0,0.87
19,1466674200.0,0.36
20,1466676000.0,0.1
21,1466677800.0,0.47
22,1466679600.0,0.7
23,1466681400.0,0.32
24,1466683200.0,0.01
25,1466685000.0,0.19
26,1466686800.0,0.11
27,1466688600.0,0.59
28,1466690400.0,0.35
29,1466692200.0,0.5
30,1466694000.0,0.4
31,1466695800.0,1.34
32,1466697600.0,0.05
33,1466699400.0,0.39
34,1466701200.0,0.01
35,1466703000.0,0.05
36,1466704800.0,0.49
37,1466706600.0,0.32
38,1466708400.0,0.01
39,1466710200.0,0.69
40,1466712000.0,0.18
41,1466713800.0,0.67
42,1466715600.0,1.23
43,1466717400.0,0.36
44,1466719200.0,0.04
45,1466721000.0,0.66
46,1466722800.0,0.19
47,1466724600.0,1.13
48,1466726400.0,0.63
49,1466728200.0,0.35
50,1466730000.0,0.02
51,1466731800.0,0.27
52,1466733600.0,0.67
53,1466735400.0,0.36
54,1466737200.0,0.87
55,1466739000.0,0.38
56,1466740800.0,1.0
57,1466742600.0,0.33
58,1466744400.0,0.39
59,1466746200.0,0.57
60,1466748000.0,0.55
61,1466749800.0,0.32
62,1466751600.0,0.68
63,1466753400.0,0.54
64,1466755200.0,0.51
65,1466757000.0,0.72
66,1466758800.0,0.78
67,1466760600.0,0.73
68,1466762400.0,0.02
69,1466764200.0,0.92
70,1466766000.0,0.07
71,1466767800.0,0.46
72,1466769600.0,0.14
73,1466771400.0,0.72
74,1466773200.0,0.36
75,1466775000.0,1.21
76,1466776800.0,0.73
77,1466778600.0,0.42
78,1466780400.0,0.71
79,1466782200.0,0.01
80,1466784000.0,0.68
81,1466785800.0,0.44
82,1466787600.0,1.29
83,1466789400.0,0.68
84,1466791200.0,1.17
85,1466793000.0,0.23
86,1466794800.0,0.59
87,1466796600.0,0.27
88,1466798400.0,0.1
89,1466800200.0,0.34
90,1466802000.0,0.4
91,1466803800.0,0.2
92,1466805600.0,0.1
93,1466807400.0,0.08
94,1466809200.0,0.89
95,1466811000.0,0.45
96,1466812800.0,0.57
97,1466814600.0,0.54
98,1466816400.0,0.52
99,1466818200.0,0.96
100,1466820000.0,0.76
101,1466821800.0,0.78
102,1466823600.0,0.6
103,1466825400.0,0.48
104,1466827200.0,0.52
105,1466829000.0,0.51
106,1466830800.0,0.11
107,1466832600.0,0.44
108,1466834400.0,0.51
109,1466836200.0,0.79
110,1466838000.0,0.3
111,1466839800.0,0.82
112,1466841600.0,0.64
113,1466843400.0,0.44
114,1466845200.0,0.55
115,1466847000.0,0.31
116,1466848800.0,0.69
117,1466850600.0,0.25
118,1466852400.0,1.28
119,1466854200.0,0.27
120,1466856000.0,0.8
121,1466857800.0,0.43
122,1466859600.0,0.57
123,1466861400.0,0.48
124,1466863200.0,0.36
125,1466865000.0,0.04
126,1466866800.0,0.66
127,1466868600.0,0.23
128,1466870400.0,0.73
129,1466872200.0,0.18
130,1466874000.0,0.63
131,1466875800.0,0.09
132,1466877600.0,0.18
133,1466879400.0,0.49
134,1466881200.0,0.08
135,1466883000.0,0.22
136,1466884800.0,0.67
137,1466886600.0,0.63
138,1466888400.0,0.66
139,1466890200.0,0.76
140,1466892000.0,0.1
141,1466893800.0,0.7
142,1466895600.0,0.36
143,1466897400.0,0.91
144,1466899200.0,0.14
145,1466901000.0,0.01
146,1466902800.0,0.4
147,1466904600.0,0.17
148,1466906400.0,0.72
149,1466908200.0,0.33
150,1466910000.0,0.39
151,1466911800.0,0.12
152,1466913600.0,0.41
153,1466915400.0,0.22
154,1466917200.0,0.01
155,1466919000.0,0.18
156,1466920800.0,0.46
157,1466922600.0,0.19
158,1466924400.0,0.68
159,1466926200.0,0.28
160,1466928000.0,0.38
161,1466929800.0,0.7
162,1466931600.0,0.4
163,1466933400.0,0.21
164,1466935200.0,0.14
165,1466937000.0,0.24
166,1466938800.0,0.1
167,1466940600.0,0.53
168,1466942400.0,0.48
169,1466944200.0,0.39
170,1466946000.0,0.37
171,1466947800.0,0.11
172,1466949600.0,0.58
173,1466951400.0,0.51
174,1466953200.0,0.77
175,1466955000.0,0.3
176,1466956800.0,0.67
177,1466958600.0,0.97
178,1466960400.0,0.81
179,1466962200.0,1.0
180,1466964000.0,0.75
181,1466965800.0,0.43
182,1466967600.0,0.89
183,1466969400.0,1.01
184,1466971200.0,0.37
185,1466973000.0,0.85
186,1466974800.0,0.47
187,1466976600.0,0.28
188,1466978400.0,0.64
189,1466980200.0,0.51
190,1466982000.0,0.05
