,Unixdatetime,values
0,1462924800.0,0.05
1,1462926600.0,0.36
2,1462928400.0,0.4
3,1462930200.0,0.1
4,1462932000.0,0.14
5,1462933800.0,0.03
6,1462935600.0,0.28
7,1462937400.0,0.47
8,1462939200.0,0.18
9,1462941000.0,0.03
10,1462942800.0,0.22
11,1462944600.0,0.69
12,1462946400.0,0.19
13,1462948200.0,0.22
14,1462950000.0,0.04
15,1462951800.0,0.47
16,1462953600.0,0.08
17,1462955400.0,0.58
18,1462957200.0,0.34
19,1462959000.0,0.69
20,1462960800.0,0.47
21,1462962600.0,0.37
22,1462964400.0,0.01
23,1462966200.0,0.25
24,1462968000.0,0.15
25,1462969800.0,0.03
26,1462971600.0,0.27
27,1462973400.0,0.01
28,1462975200.0,0.11
29,1462977000.0,0.12
30,1462978800.0,0.43
31,1462980600.0,0.2
32,1462982400.0,0.46
33,1462984200.0,0.07
34,1462986000.0,0.57
35,1462987800.0,0.24
36,1462989600.0,0.16
37,1462991400.0,0.29
38,1462993200.0,0.34
39,1462995000.0,0.21
40,1462996800.0,0.15
41,1462998600.0,0.44
42,1463000400.0,0.67
43,1463002200.0,0.52
44,1463004000.0,0.25
45,1463005800.0,0.1
46,1463007600.0,0.18
47,1463009400.0,0.35
