,Unixdatetime,values
0,1458000000.0,0.19
1,1458001800.0,0.34
2,1458003600.0,0.04
3,1458005400.0,0.26
4,1458007200.0,0.17
5,1458009000.0,0.23
6,1458010800.0,0.16
7,1458012600.0,0.4
8,1458014400.0,0.41
9,1458016200.0,0.3
10,1458018000.0,0.08
11,1458019800.0,0.3
12,1458021600.0,0.25
13,1458023400.0,0.36
14,1458025200.0,0.07
15,1458027000.0,0.67
16,1458028800.0,0.21
17,1458030600.0,0.46
18,1458032400.0,0.09
19,1458034200.0,0.22
20,1458036000.0,0.39
21,1458037800.0,0.17
22,1458039600.0,0.2
23,1458041400.0,0.11
24,1458043200.0,0.66
25,1458045000.0,0.26
26,1458046800.0,0.35
27,1458048600.0,0.19
28,1458050400.0,0.31
29,1458052200.0,0.16
30,1458054000.0,0.18
31,1458055800.0,0.52
32,1458057600.0,0.21
33,1458059400.0,0.67
34,1458061200.0,0.53
35,1458063000.0,0.11
36,1458064800.0,0.35
37,1458066600.0,0.5
38,1458068400.0,0.38
39,1458070200.0,0.3
40,1458072000.0,0.17
41,1458073800.0,0.1
42,1458075600.0,0.24
43,1458077400.0,0.06
44,1458079200.0,0.43
45,1458081000.0,0.5
46,1458082800.0,0.33
47,1458084600.0,0.47
48,1458086400.0,0.04
49,1458088200.0,0.23
50,1458090000.0,0.3
51,1458091800.0,0.06
52,1458093600.0,0.12
53,1458095400.0,0.26
54,1458097200.0,0.72
55,1458099000.0,0.1
56,1458100800.0,0.22
57,1458102600.0,0.07
58,1458104400.0,0.52
59,1458106200.0,0.38
60,1458108000.0,0.61
61,1458109800.0,0.02
62,1458111600.0,0.27
63,1458113400.0,0.09
64,1458115200.0,0.6
65,1458117000.0,0.0
66,1458118800.0,0.37
67,1458120600.0,0.39
68,1458122400.0,0.26
69,1458124200.0,0.49
70,1458126000.0,0.06
71,1458127800.0,0.39
72,1458129600.0,0.08
73,1458131400.0,0.03
74,1458133200.0,0.27
75,1458135000.0,0.11
76,1458136800.0,0.48
77,1458138600.0,0.27
78,1458140400.0,0.09
79,1458142200.0,0.06
80,1458144000.0,0.32
81,1458145800.0,0.21
82,1458147600.0,0.18
83,1458149400.0,0.35
84,1458151200.0,0.14
85,1458153000.0,0.28
86,1458154800.0,0.3
87,1458156600.0,0.16
88,1458158400.0,0.13
89,1458160200.0,0.46
90,1458162000.0,0.24
91,1458163800.0,0.44
92,1458165600.0,0.36
93,1458167400.0,0.38
94,1458169200.0,0.06
95,1458171000.0,0.09
96,1458172800.0,0.4
97,1458174600.0,0.09
98,1458176400.0,0.3
99,1458178200.0,0.3
100,1458180000.0,0.25
101,1458181800.0,0.56
102,1458183600.0,0.08
103,1458185400.0,0.15
104,1458187200.0,0.45
105,1458189000.0,0.38
106,1458190800.0,0.13
107,1458192600.0,0.37
108,1458194400.0,0.33
109,1458196200.0,0.21
110,1458198000.0,0.18
111,1458199800.0,0.04
112,1458201600.0,0.12
113,1458203400.0,0.23
114,1458205200.0,0.59
115,1458207000.0,0.41
116,1458208800.0,0.5
117,1458210600.0,0.37
118,1458212400.0,0.06
119,1458214200.0,0.39
120,1458216000.0,0.0
121,1458217800.0,0.36
122,1458219600.0,0.21
123,1458221400.0,0.23
124,1458223200.0,0.22
125,1458225000.0,0.29
126,1458226800.0,0.21
127,1458228600.0,0.22
128,1458230400.0,0.32
129,1458232200.0,0.21
130,1458234000.0,0.58
131,1458235800.0,0.57
132,1458237600.0,0.35
133,1458239400.0,0.17
134,1458241200.0,0.4
135,1458243000.0,0.19
136,1458244800.0,0.12
137,1458246600.0,0.28
138,1458248400.0,0.13
139,1458250200.0,0.2
140,1458252000.0,0.08
141,1458253800.0,0.42
142,1458255600.0,0.51
143,1458257400.0,0.1
144,1458259200.0,0.42
145,1458261000.0,0.42
146,1458262800.0,0.21
147,1458264600.0,0.34
148,1458266400.0,0.33
149,1458268200.0,0.05
150,1458270000.0,0.16
151,1458271800.0,0.56
152,1458273600.0,0.65
153,1458275400.0,0.17
154,1458277200.0,0.06
155,1458279000.0,0.1
156,1458280800.0,0.04
157,1458282600.0,0.11
158,1458284400.0,0.43
159,1458286200.0,0.12
160,1458288000.0,0.19
161,1458289800.0,0.15
162,1458291600.0,0.37
163,1458293400.0,0.24
164,1458295200.0,0.01
165,1458297000.0,0.2
166,1458298800.0,0.2
167,1458300600.0,0.51
168,1458302400.0,0.01
169,1458304200.0,0.24
170,1458306000.0,0.02
171,1458307800.0,0.29
172,1458309600.0,0.82
173,1458311400.0,0.15
174,1458313200.0,0.08
175,1458315000.0,0.3
176,1458316800.0,0.45
177,1458318600.0,0.13
178,1458320400.0,0.53
179,1458322200.0,0.18
180,1458324000.0,0.1
181,1458325800.0,0.33
182,1458327600.0,0.47
183,1458329400.0,0.03
184,1458331200.0,0.22
185,1458333000.0,0.41
186,1458334800.0,0.07
187,1458336600.0,0.38
188,1458338400.0,0.55
189,1458340200.0,0.06
190,1458342000.0,0.06
191,1458343800.0,0.4
