,Unixdatetime,values
0,1466121600.0,0.31
1,1466123400.0,0.42
2,1466125200.0,0.38
3,1466127000.0,0.75
4,1466128800.0,0.12
5,1466130600.0,0.36
6,1466132400.0,1.1
7,1466134200.0,0.85
8,1466136000.0,0.95
9,1466137800.0,0.56
10,1466139600.0,0.44
11,1466141400.0,0.14
12,1466143200.0,0.6
13,1466145000.0,0.34
14,1466146800.0,0.21
15,1466148600.0,0.56
16,1466150400.0,0.04
17,1466152200.0,0.15
18,1466154000.0,0.47
19,1466155800.0,0.32
20,1466157600.0,0.36
21,1466159400.0,1.14
22,1466161200.0,0.53
23,1466163000.0,0.3
24,1466164800.0,0.53
25,1466166600.0,0.04
26,1466168400.0,0.59
27,1466170200.0,0.21
28,1466172000.0,0.34
29,1466173800.0,0.57
30,1466175600.0,0.05
31,1466177400.0,0.08
32,1466179200.0,0.23
33,1466181000.0,0.5
34,1466182800.0,0.17
35,1466184600.0,1.0
36,1466186400.0,0.66
37,1466188200.0,0.25
38,1466190000.0,0.27
39,1466191800.0,0.58
40,1466193600.0,0.65
41,1466195400.0,0.33
42,1466197200.0,0.39
43,1466199000.0,0.44
44,1466200800.0,0.93
45,1466202600.0,0.91
46,1466204400.0,0.21
47,1466206200.0,0.77
48,1466208000.0,0.47
49,1466209800.0,0.01
50,1466211600.0,0.73
51,1466213400.0,0.98
52,1466215200.0,0.61
53,1466217000.0,0.51
54,1466218800.0,0.59
55,1466220600.0,0.61
56,1466222400.0,0.3
57,1466224200.0,0.01
58,1466226000.0,0.72
59,1466227800.0,0.84
60,1466229600.0,0.31
61,1466231400.0,0.14
62,1466233200.0,0.54
63,1466235000.0,0.52
64,1466236800.0,0.9
65,1466238600.0,1.07
66,1466240400.0,0.15
67,1466242200.0,0.82
68,1466244000.0,0.12
69,1466245800.0,0.89
70,1466247600.0,0.01
71,1466249400.0,0.66
72,1466251200.0,0.4
73,1466253000.0,0.01
74,1466254800.0,0.08
75,1466256600.0,0.87
76,1466258400.0,0.53
77,1466260200.0,0.42
78,1466262000.0,0.22
79,1466263800.0,0.24
80,1466265600.0,0.56
81,1466267400.0,0.44
82,1466269200.0,0.83
83,1466271000.0,0.06
84,1466272800.0,0.38
85,1466274600.0,1.06
86,1466276400.0,0.52
87,1466278200.0,0.3
88,1466280000.0,0.48
89,1466281800.0,0.58
90,1466283600.0,0.26
91,1466285400.0,0.2
92,1466287200.0,0.2
93,1466289000.0,0.91
94,1466290800.0,0.22
95,1466292600.0,0.51
96,1466294400.0,0.67
97,1466296200.0,0.58
98,1466298000.0,0.66
99,1466299800.0,0.3
100,1466301600.0,0.34
101,1466303400.0,0.24
102,1466305200.0,0.5
103,1466307000.0,0.06
104,1466308800.0,0.98
105,1466310600.0,0.11
106,1466312400.0,0.16
107,1466314200.0,0.4
108,1466316000.0,0.37
109,1466317800.0,0.23
110,1466319600.0,0.97
111,1466321400.0,0.02
112,1466323200.0,0.6
113,1466325000.0,0.09
114,1466326800.0,0.35
115,1466328600.0,0.31
116,1466330400.0,0.06
117,1466332200.0,0.5
118,1466334000.0,0.41
119,1466335800.0,0.78
120,1466337600.0,1.23
121,1466339400.0,0.44
122,1466341200.0,0.79
123,1466343000.0,0.47
124,1466344800.0,0.31
125,1466346600.0,1.15
126,1466348400.0,0.37
127,1466350200.0,0.0
128,1466352000.0,0.73
129,1466353800.0,0.61
130,1466355600.0,0.18
131,1466357400.0,0.61
132,1466359200.0,0.14
133,1466361000.0,0.06
134,1466362800.0,0.15
135,1466364600.0,0.46
136,1466366400.0,0.09
137,1466368200.0,0.06
138,1466370000.0,1.28
139,1466371800.0,0.85
140,1466373600.0,0.31
141,1466375400.0,0.03
142,1466377200.0,0.05
143,1466379000.0,0.26
144,1466380800.0,0.83
145,1466382600.0,0.1
146,1466384400.0,0.67
147,1466386200.0,0.03
148,1466388000.0,0.12
149,1466389800.0,0.58
150,1466391600.0,0.31
151,1466393400.0,0.67
152,1466395200.0,0.09
153,1466397000.0,0.44
154,1466398800.0,0.93
155,1466400600.0,0.03
156,1466402400.0,0.16
157,1466404200.0,0.22
158,1466406000.0,0.28
159,1466407800.0,0.42
160,1466409600.0,0.54
161,1466411400.0,0.62
162,1466413200.0,0.1
163,1466415000.0,0.18
164,1466416800.0,0.09
165,1466418600.0,0.53
166,1466420400.0,0.29
167,1466422200.0,0.04
168,1466424000.0,0.39
169,1466425800.0,0.5
170,1466427600.0,0.33
171,1466429400.0,0.35
172,1466431200.0,0.06
173,1466433000.0,0.44
174,1466434800.0,0.15
175,1466436600.0,0.24
176,1466438400.0,0.08
177,1466440200.0,0.29
178,1466442000.0,0.34
179,1466443800.0,0.09
180,1466445600.0,0.96
181,1466447400.0,0.68
182,1466449200.0,0.39
183,1466451000.0,0.3
184,1466452800.0,0.05
185,1466454600.0,0.93
186,1466456400.0,0.68
187,1466458200.0,0.01
188,1466460000.0,0.66
189,1466461800.0,0.18
190,1466463600.0,0.48
191,1466465400.0,0.53
192,1466467200.0,0.29
193,1466469000.0,1.02
194,1466470800.0,0.41
195,1466472600.0,0.61
196,1466474400.0,0.47
197,1466476200.0,0.56
198,1466478000.0,0.09
199,1466479800.0,0.61
200,1466481600.0,0.26
201,1466483400.0,0.32
202,1466485200.0,1.13
203,1466487000.0,0.67
204,1466488800.0,0.13
205,1466490600.0,1.2
206,1466492400.0,0.88
207,1466494200.0,0.09
208,1466496000.0,0.75
209,1466497800.0,0.35
210,1466499600.0,0.53
211,1466501400.0,0.29
212,1466503200.0,0.4
213,1466505000.0,0.06
214,1466506800.0,0.29
215,1466508600.0,1.03
216,1466510400.0,0.2
217,1466512200.0,0.02
218,1466514000.0,0.97
219,1466515800.0,0.11
220,1466517600.0,0.62
221,1466519400.0,0.47
222,1466521200.0,0.17
223,1466523000.0,0.12
224,1466524800.0,0.69
225,1466526600.0,0.44
226,1466528400.0,0.41
227,1466530200.0,0.34
228,1466532000.0,0.45
229,1466533800.0,0.53
230,1466535600.0,0.05
231,1466537400.0,0.09
232,1466539200.0,0.72
233,1466541000.0,0.75
234,1466542800.0,0.27
235,1466544600.0,0.48
236,1466546400.0,0.43
237,1466548200.0,0.3
238,1466550000.0,0.02
239,1466551800.0,0.24
240,1466553600.0,0.21
241,1466555400.0,0.17
242,1466557200.0,0.14
243,1466559000.0,0.0
244,1466560800.0,0.64
245,1466562600.0,0.29
246,1466564400.0,0.68
247,1466566200.0,0.69
248,1466568000.0,0.57
249,1466569800.0,0.18
250,1466571600.0,0.85
251,1466573400.0,0.64
252,1466575200.0,0.55
253,1466577000.0,0.17
254,1466578800.0,0.52
255,1466580600.0,0.22
256,1466582400.0,0.13
257,1466584200.0,0.37
258,1466586000.0,0.51
259,1466587800.0,0.46
260,1466589600.0,0.01
261,1466591400.0,0.61
262,1466593200.0,0.36
263,1466595000.0,0.57
264,1466596800.0,0.94
265,1466598600.0,0.93
266,1466600400.0,0.61
267,1466602200.0,0.16
268,1466604000.0,0.09
269,1466605800.0,0.18
270,1466607600.0,0.16
271,1466609400.0,0.32
272,1466611200.0,0.23
273,1466613000.0,0.1
274,1466614800.0,0.58
275,1466616600.0,0.07
276,1466618400.0,0.1
277,1466620200.0,0.31
278,1466622000.0,0.87
279,1466623800.0,0.42
280,1466625600.0,0.14
281,1466627400.0,0.39
282,1466629200.0,0.45
283,1466631000.0,0.76
284,1466632800.0,0.12
285,1466634600.0,0.6
286,1466636400.0,0.59
287,1466638200.0,0.64
