,Unixdatetime,values
0,1454457600.0,0.16
1,1454459400.0,0.15
2,1454461200.0,0.16
3,1454463000.0,0.85
4,1454464800.0,0.33
5,1454466600.0,0.65
6,1454468400.0,0.9
7,1454470200.0,0.23
8,1454472000.0,0.25
9,1454473800.0,0.89
10,1454475600.0,0.04
11,1454477400.0,0.22
12,1454479200.0,0.47
13,1454481000.0,0.63
14,1454482800.0,0.09
15,1454484600.0,0.75
16,1454486400.0,0.2
17,1454488200.0,0.11
18,1454490000.0,0.34
19,1454491800.0,0.36
20,1454493600.0,0.43
21,1454495400.0,0.29
22,1454497200.0,0.01
23,1454499000.0,0.14
24,1454500800.0,0.16
25,1454502600.0,0.06
26,1454504400.0,0.13
27,1454506200.0,0.14
28,1454508000.0,0.5
29,1454509800.0,0.29
30,1454511600.0,0.16
31,1454513400.0,0.4
32,1454515200.0,0.03
33,1454517000.0,0.47
34,1454518800.0,0.52
35,1454520600.0,0.61
36,1454522400.0,0.54
37,1454524200.0,0.37
38,1454526000.0,0.17
39,1454527800.0,0.6
40,1454529600.0,0.08
41,1454531400.0,0.22
42,1454533200.0,0.47
43,1454535000.0,0.4
44,1454536800.0,0.96
45,1454538600.0,0.75
46,1454540400.0,0.78
47,1454542200.0,0.05
48,1454544000.0,0.13
49,1454545800.0,0.2
50,1454547600.0,0.19
51,1454549400.0,0.28
52,1454551200.0,0.43
53,1454553000.0,0.57
54,1454554800.0,0.42
55,1454556600.0,0.61
56,1454558400.0,0.26
57,1454560200.0,0.53
58,1454562000.0,0.46
59,1454563800.0,0.27
60,1454565600.0,0.0
61,1454567400.0,0.31
62,1454569200.0,0.21
63,1454571000.0,0.63
64,1454572800.0,0.63
65,1454574600.0,0.52
66,1454576400.0,0.06
67,1454578200.0,0.26
68,1454580000.0,0.05
69,1454581800.0,0.08
70,1454583600.0,0.01
71,1454585400.0,0.52
72,1454587200.0,0.73
73,1454589000.0,0.19
74,1454590800.0,0.24
75,1454592600.0,1.17
76,1454594400.0,0.28
77,1454596200.0,0.3
78,1454598000.0,0.18
79,1454599800.0,0.71
80,1454601600.0,0.57
81,1454603400.0,0.21
82,1454605200.0,0.76
83,1454607000.0,0.28
84,1454608800.0,0.59
85,1454610600.0,0.01
86,1454612400.0,0.32
87,1454614200.0,0.66
88,1454616000.0,0.38
89,1454617800.0,0.52
90,1454619600.0,0.35
91,1454621400.0,0.19
92,1454623200.0,0.87
93,1454625000.0,0.09
94,1454626800.0,0.42
95,1454628600.0,0.61
96,1454630400.0,0.35
97,1454632200.0,0.13
98,1454634000.0,0.08
99,1454635800.0,0.03
100,1454637600.0,0.09
101,1454639400.0,0.47
102,1454641200.0,0.75
103,1454643000.0,0.2
104,1454644800.0,0.72
105,1454646600.0,0.3
106,1454648400.0,1.0
107,1454650200.0,0.05
108,1454652000.0,0.38
109,1454653800.0,0.26
110,1454655600.0,0.81
111,1454657400.0,0.85
112,1454659200.0,0.51
113,1454661000.0,0.02
114,1454662800.0,0.26
115,1454664600.0,0.31
116,1454666400.0,0.22
117,1454668200.0,1.23
118,1454670000.0,0.04
119,1454671800.0,0.01
120,1454673600.0,0.47
121,1454675400.0,0.01
122,1454677200.0,0.57
123,1454679000.0,0.73
124,1454680800.0,0.1
125,1454682600.0,0.28
126,1454684400.0,0.42
127,1454686200.0,0.05
128,1454688000.0,0.02
129,1454689800.0,0.18
130,1454691600.0,0.43
131,1454693400.0,0.24
132,1454695200.0,0.15
133,1454697000.0,0.72
134,1454698800.0,0.13
135,1454700600.0,0.23
136,1454702400.0,1.12
137,1454704200.0,0.32
138,1454706000.0,0.13
139,1454707800.0,0.57
140,1454709600.0,0.04
141,1454711400.0,0.46
142,1454713200.0,0.54
143,1454715000.0,0.01
144,1454716800.0,0.3
145,1454718600.0,0.77
146,1454720400.0,0.23
147,1454722200.0,0.13
