,Unixdatetime,values
0,1459641600.0,0.11
1,1459643400.0,0.02
2,1459645200.0,0.02
3,1459647000.0,0.58
4,1459648800.0,0.44
5,1459650600.0,0.1
6,1459652400.0,0.17
7,1459654200.0,0.48
8,1459656000.0,0.36
9,1459657800.0,0.29
10,1459659600.0,0.22
11,1459661400.0,0.01
12,1459663200.0,0.11
13,1459665000.0,0.1
14,1459666800.0,0.64
15,1459668600.0,0.1
16,1459670400.0,0.33
17,1459672200.0,0.55
18,1459674000.0,0.18
19,1459675800.0,0.15
20,1459677600.0,0.02
21,1459679400.0,0.46
22,1459681200.0,0.35
23,1459683000.0,0.22
24,1459684800.0,0.36
25,1459686600.0,0.16
26,1459688400.0,0.24
27,1459690200.0,0.22
28,1459692000.0,0.24
29,1459693800.0,0.64
30,1459695600.0,0.35
31,1459697400.0,0.13
32,1459699200.0,0.53
33,1459701000.0,0.24
34,1459702800.0,0.37
35,1459704600.0,0.14
36,1459706400.0,0.32
37,1459708200.0,0.03
38,1459710000.0,0.01
39,1459711800.0,0.24
40,1459713600.0,0.38
41,1459715400.0,0.14
42,1459717200.0,0.27
43,1459719000.0,0.49
44,1459720800.0,0.01
45,1459722600.0,0.34
46,1459724400.0,0.35
47,1459726200.0,0.17
