,Unixdatetime,values
0,1468454400.0,0.43
1,1468456200.0,0.2
2,1468458000.0,0.6
3,1468459800.0,1.13
4,1468461600.0,0.87
5,1468463400.0,0.16
6,1468465200.0,0.13
7,1468467000.0,0.13
8,1468468800.0,0.06
9,1468470600.0,0.2
10,1468472400.0,0.93
11,1468474200.0,0.16
12,1468476000.0,0.06
13,1468477800.0,0.01
14,1468479600.0,0.24
15,1468481400.0,0.04
16,1468483200.0,0.26
17,1468485000.0,0.43
18,1468486800.0,0.18
19,1468488600.0,0.21
20,1468490400.0,0.23
21,1468492200.0,0.38
22,1468494000.0,0.3
23,1468495800.0,0.64
24,1468497600.0,0.51
25,1468499400.0,0.71
26,1468501200.0,0.32
27,1468503000.0,0.62
28,1468504800.0,0.74
29,1468506600.0,0.09
30,1468508400.0,0.27
31,1468510200.0,0.21
32,1468512000.0,0.54
33,1468513800.0,0.34
34,1468515600.0,0.02
35,1468517400.0,0.41
36,1468519200.0,0.02
37,1468521000.0,0.24
38,1468522800.0,0.48
39,1468524600.0,0.42
40,1468526400.0,0.61
41,1468528200.0,1.16
42,1468530000.0,0.27
43,1468531800.0,1.02
44,1468533600.0,0.25
45,1468535400.0,0.51
46,1468537200.0,0.32
47,1468539000.0,0.61
48,1468540800.0,0.71
49,1468542600.0,0.26
50,1468544400.0,0.24
51,1468546200.0,0.13
52,1468548000.0,0.26
53,1468549800.0,0.62
54,1468551600.0,0.8
55,1468553400.0,0.64
56,1468555200.0,0.53
57,1468557000.0,0.63
58,1468558800.0,0.54
59,1468560600.0,0.89
60,1468562400.0,0.57
61,1468564200.0,0.04
62,1468566000.0,0.48
63,1468567800.0,0.37
64,1468569600.0,0.02
65,1468571400.0,0.24
66,1468573200.0,0.53
67,1468575000.0,0.57
68,1468576800.0,0.03
69,1468578600.0,0.67
70,1468580400.0,0.18
71,1468582200.0,0.1
72,1468584000.0,0.82
73,1468585800.0,0.27
74,1468587600.0,0.07
75,1468589400.0,0.56
76,1468591200.0,0.38
77,1468593000.0,0.28
78,1468594800.0,0.22
79,1468596600.0,0.87
80,1468598400.0,0.35
81,1468600200.0,0.17
82,1468602000.0,0.14
83,1468603800.0,0.82
84,1468605600.0,0.04
85,1468607400.0,0.64
86,1468609200.0,0.3
87,1468611000.0,0.98
88,1468612800.0,0.06
89,1468614600.0,0.73
90,1468616400.0,0.13
91,1468618200.0,0.27
92,1468620000.0,0.18
93,1468621800.0,0.98
94,1468623600.0,0.37
95,1468625400.0,0.31
96,1468627200.0,0.69
97,1468629000.0,0.62
98,1468630800.0,0.39
99,1468632600.0,0.99
100,1468634400.0,0.16
101,1468636200.0,0.7
102,1468638000.0,0.6
103,1468639800.0,0.33
104,1468641600.0,0.56
105,1468643400.0,0.3
106,1468645200.0,0.62
107,1468647000.0,0.35
108,1468648800.0,1.07
109,1468650600.0,0.01
110,1468652400.0,0.22
111,1468654200.0,0.76
112,1468656000.0,0.34
113,1468657800.0,0.26
114,1468659600.0,1.34
115,1468661400.0,0.18
116,1468663200.0,0.16
117,1468665000.0,0.88
118,1468666800.0,0.11
119,1468668600.0,0.46
120,1468670400.0,0.49
121,1468672200.0,0.55
122,1468674000.0,0.16
123,1468675800.0,0.07
124,1468677600.0,0.17
125,1468679400.0,0.0
126,1468681200.0,0.36
127,1468683000.0,0.24
128,1468684800.0,0.98
129,1468686600.0,0.13
130,1468688400.0,0.41
131,1468690200.0,0.15
132,1468692000.0,0.43
133,1468693800.0,0.68
134,1468695600.0,1.1
135,1468697400.0,0.98
136,1468699200.0,0.39
137,1468701000.0,0.05
138,1468702800.0,0.32
139,1468704600.0,0.35
140,1468706400.0,0.5
141,1468708200.0,0.59
142,1468710000.0,0.11
143,1468711800.0,0.48
144,1468713600.0,0.42
145,1468715400.0,0.12
146,1468717200.0,0.04
147,1468719000.0,0.4
148,1468720800.0,0.09
149,1468722600.0,0.03
150,1468724400.0,0.15
151,1468726200.0,0.23
152,1468728000.0,0.52
153,1468729800.0,0.55
154,1468731600.0,0.52
155,1468733400.0,0.9
156,1468735200.0,0.6
157,1468737000.0,0.5
158,1468738800.0,0.91
159,1468740600.0,0.63
160,1468742400.0,0.07
161,1468744200.0,0.52
162,1468746000.0,0.6
163,1468747800.0,0.36
164,1468749600.0,0.99
165,1468751400.0,0.72
166,1468753200.0,0.17
167,1468755000.0,0.62
168,1468756800.0,0.13
169,1468758600.0,0.04
170,1468760400.0,0.43
171,1468762200.0,0.26
172,1468764000.0,0.06
173,1468765800.0,0.44
174,1468767600.0,0.36
175,1468769400.0,0.77
176,1468771200.0,0.25
177,1468773000.0,0.56
178,1468774800.0,0.42
179,1468776600.0,0.27
180,1468778400.0,0.02
181,1468780200.0,0.43
182,1468782000.0,0.41
183,1468783800.0,0.71
184,1468785600.0,0.01
185,1468787400.0,0.36
186,1468789200.0,0.03
187,1468791000.0,0.65
188,1468792800.0,0.74
189,1468794600.0,0.08
190,1468796400.0,0.72
191,1468798200.0,0.66
