,Unixdatetime,values
0,1461974400.0,0.52
1,1461976200.0,0.26
2,1461978000.0,0.2
3,1461979800.0,0.02
4,1461981600.0,0.14
5,1461983400.0,0.32
6,1461985200.0,0.3
7,1461987000.0,0.16
8,1461988800.0,0.38
9,1461990600.0,0.13
10,1461992400.0,0.14
11,1461994200.0,0.1
12,1461996000.0,0.34
13,1461997800.0,0.65
14,1461999600.0,0.12
15,1462001400.0,0.4
16,1462003200.0,0.03
17,1462005000.0,0.13
18,1462006800.0,0.12
19,1462008600.0,0.22
20,1462010400.0,0.42
21,1462012200.0,0.02
22,1462014000.0,0.03
23,1462015800.0,0.22
24,1462017600.0,0.13
25,1462019400.0,1.0
26,1462021200.0,0.27
27,1462023000.0,0.67
28,1462024800.0,0.14
29,1462026600.0,0.12
30,1462028400.0,0.42
31,1462030200.0,0.23
32,1462032000.0,0.35
33,1462033800.0,0.12
34,1462035600.0,0.68
35,1462037400.0,0.16
36,1462039200.0,0.07
37,1462041000.0,0.3
38,1462042800.0,0.02
39,1462044600.0,0.21
40,1462046400.0,0.22
41,1462048200.0,0.03
42,1462050000.0,0.05
43,1462051800.0,0.37
44,1462053600.0,0.28
45,1462055400.0,0.04
46,1462057200.0,0.01
47,1462059000.0,0.57
